dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2016-04-14,700.698,680,"kcal","89","30",16,12
2016-04-15,56.609,680,"kcal","6","30",2,12
